id_dataset,id_commento,Content,ReactionsCount
1,85,This is where they were carved and abandoned before use.  The finished ones are the set up on podiums in lines along the coast lines...and all have bodies and have been seen with bodies for centuries.  This is NOT news or a find in any way.,17
1,86,In the past that sculpture was covered in soil but the erosion shift the dirt off the sculpture face,0
1,87,Thor Heyerdal.Found that out in the 40s',1
1,88,Too bad they didnt bring their pet dinosaurs inside when the asteroids hit earth.,0
1,89,"I think the all-time most famous stones were ￼Mick, Keith, Charlie, and Ronnie.",1
1,90,Visited this place more than 20 year ago…This have been known all along… it is sad that they have disrupted them… the earth actually protected the additional carvings on the Moai body…,0
1,91,Gobekli Tepe was intentionally buried. The bodies of these Easter Island masterpieces were undoubtedly intentionally buried also. The burial certainly preserved their art work.,0
1,92,Great to know - more to learn all the time,0
1,93,Are those bat-mitten rackets tucked into the back of his belt ??  ; - ),1
1,94,But it’s a special place.  Why couldn’t that have just left it alone,0
1,95,Looks like patterns on the back of the statue. I never realised that these statues had so much detail on them.,0
1,96,Je Suis MCO LA TINTING OZONE ALLUMÉ LA LUMIÈRE LUXUEUSEMENT POUR MOI DRISSA MAINTENANT 13-SUIS-MOI 🤩🤩🤩🤩🤩🤩🤩,0
1,97,AMAZING! Talk about judging a book by its cover!😮,3
1,98,And epigraphy! What are the carved symbols on its back? Do they have meaning?,2
1,99,"Hard to believe it took so long to see the rest of the statues, esp with all the laser technology",0
1,100,Wow! I love the Badminton rackets,0
1,101,"Hello, I'm from Chile.  The island is called RAPA NUI now.",0
1,102,I think that all of them all over the island were buried to the same place on thier necks makes this story a bit suspicious if not an outright scam,0
1,103,Super pic. Amazing pic. Nice wee thong on him and two tennis rackets tucked in. 😂,1
1,104,"You mean no one else ever dug down to see f there was a body!?!
The hippo teeth are really in odd positions. I guess they are affective on plants!",0
1,105,That IS amazing!,0
1,106,"What else could there be??maybe by digging a little deeper they could find something else like tombs or if they can get an actual age of the statue's and calculate how much dirt has covered them, because if you remove the dirt you would also need to remove some of the water,then project a line of view from the statue's to see what there looking at,could be a giant chess board ???",0
1,107,"It suggests that the people of the area at time were large and intelligent.

https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/14745190789980440298?url=https%3A%2F%2Fmedia.tenor.co%2FOVXf5baMK3QAAAAC%2Fsupervivencia-al-desnudo-fernanda-perez.gif%3Ft%3DAAX2f2HHhFsKviJFsAnJ1Q%26c%3DVjFfZmFjZWJvb2s%26itemid%3D25758860&fb_obo=1&utld=tenor.co&stp=dst-jpg_flffffff_q75_s792x792_tt6&ccb=13-1&oh=06_Q399h3G-uoAQh0BOxqB8vCnjnDP4xhRMgujBs-i_0guNyMA&oe=679C1ED9&_nc_sid=867500",0
1,108,This guy was a barber he's got a pair of scissors   stuck in his belt,0
1,109,So amazing the creative of mankind god bless 🙏🙏🙏,0
1,110,Love the tennis rackets,0
1,111,Extraordinary discovering can anybody decipher the raining on the back great work thank you,0
1,112,Eu sempre achei que tivesse não sei como más sabia.,0
1,113,"Les hieroglyphes gravés sur leur dos praaient enfin devoiler leurs secrets. Alors specialistes et savants de tous bords,qui assuraient que ces statues n'etaient que des tetes...Il en est de ces gens ce qu'ils sont encore aujourd'hui des commentateurs de teles ,des savants es-covid ,des conseillés politiques.",0
1,114,This is groundbreaking news as much as the Sphinx in Egypt being buried under sand. 🙄,2
1,115,I believe we already knew that.  Many pics of the bodies just saying.  However awesome what y'all are doing.,0
1,116,Little did we know. I am happy permeation was given to excavate these statues.,0
1,117,"Bom não intendo nada de geologia mas observando as laterais da escavação vejo acúmulo dos sedimentos então podemos estimar quanto tempo foi erguido estes monumentos, o que co tradiz o tempo descrito por alguns especialistas!",0
1,118,"This knowledge is FAR from recent, it has been known for at least 70 years, I have photos of this dating back to the1950’s. Have we b come so dumbed down that nothing is taught any more!",0
1,119,"Alors, on ne peut dater un minéral par contre avec les strates alluviales il est possible de déterminer à un ou deux siècles près leur mise place et zu passage, effectuer une analyse de champ électromagnétique pour comprendre que ceci a été déplacé par anti gravitation",0
1,120,"Thank you for showing us all these treasures ,would be great if we had more knowledge about these rocks ,,",0
1,121,Wow! If a person mind never wondered who would have ever known. The mind is an an amazing place don’t waste it 😊,0
1,122,"Judging by the line between above and beneath the soil, I would guess they were deliberately buried. Mystery !",0
1,123,"These figures were actually standing closer to the grade, 1000's of years earlier the sea level increased carrying billions of tons of sand and sediment,  these statues were buried by time, not Man.
farmer jim",7
1,124,FRED AND I WENT TO EASTER ISLAND 4-5 YRS AGO. THERE'S ONLY ONE PLANE IN AND OUT EACH DAY!! IT WAS WONDERFUL! THEY HAD SIGNS AROUND TELLING YOU WHERE TO GO IN CASE OF A TSUNAMI. ( LIKE ANY PLACE ON THAT ISLAND WOULD BE SAFE),1
1,125,These are amazing,0
1,126,holy smokes!!! I would love to see stuff like this in person!!!!!,1
1,127,I would imagine that these huge and heavy stone figures have been sinking into the soft ground on Easter island for thousands of years. I'm not sure how old these stone figures really are.,0
1,128,It took long to figure out there was more to just a head. Yeah great job 👏 someone decided hey that’s dirt down some more,0
1,129,Wahou ! Encore plus impressionnant que ce qu'on connaissait. Magnifique travail de ceux qui ont creusé pour découvrir que les têtes avaient un corps. Magnifique travail aussi du peuple qui a dressé ces belles statues,2
1,130,Would love to see these..look at the carvings on the stones..,0
1,131,Amazing that we’re just finding this out!,0
1,132,That’s amazing !!!,0
1,133,We have a summer place there...,1
1,134,We visited Rapa Nui and had the pleasure of viewing hundreds of these Maoi. They are amazing and the local history is fantastic to hear about. A much different story than we have been told.,0
1,135,"Have memories of this fantastic place, we spent a couple of weeks there. A stop over between Sydney and Chile.",0
1,136,What amazes me is the amount of dirt that has accumulated around them.,0
1,137,Any body thought maybe extretaresstial involvment  as with other items on Earth  No stones on that island    pyramids   mutcha ( cant spell it ) puchu     lines in deserts  temples carved into rockface ? Thousands of years ago mind    without pnumatic drils  lifting equitment etc   ( just my opinion ),0
1,138,￼ Noah and the great flood. That’s h￼ow they were ￼ buried!,0
1,139,Still a mystery How this big structures were built and moved around.various examples of similar things in south Americas and other parts of the world...,0
1,140,As a teenager read Thor Heyerdahl books.  I knew they had bodies. Also red top knots.  To make the statues the Islanders chopped down all the trees to move the huge blocks of stone. Plus they killed each other.  Read his book Aku Aku.,0
1,141,"And backpacks w breathing apparatus from the looks of it too, as well as those curly wire earpieces…",0
1,142,"I have been to Easter Island, a most amazing place.",0
1,143,Layers of soil dug is heaped over centuries. There could be more fossil remainders at the level where whole body of image stands.,0
1,144,"Wow, it just took 336 years to figure out? Looks like someone alone could have dug this hole in a few days.",0
1,145,So why hadn’t the build up of soils continued to completely cover them? Seems they were covered to this point all at a single occurrence!,0
1,146,So much under our feet and we have no idea..Amazing find..,0
1,147,"Is this article a wind up ? Every statues body is on show , apart from the ones buried by the quarry !!!!",0
1,148,I always miss the Easter Inland and M.V.Regent Oat. I stayed there about 2 months in 1983.,0
1,149,Incredible! Who knew they carried a couple of tennis rackets in their waistbands? Or is that a giant pair of scissors?,0
1,150,I thought this was obvious. Why would they do just a portion of the head when so many others were clearly full figures? I assumed they were buried over the years of island storms and moving sand.,0
1,151,Looks like they have their pickleball paddles handy.,1
1,152,It just shows what a couple of thousand years of plant matter and dust deposits can build up the depth that hides the statues,4
1,153,"Were they buried up to their necks, or did the island get covered with dirt somehow? Either way, it is still a mystery.",0
1,154,Amazing it took anyone this long to figure this out.,0
1,155,I have visited this island in 2011 on my around the world trip. Very interesting island,0
1,156,and nice stone work. Looks like they played badminton or something,1
1,157,Absolutely amazing!,0
1,158,"That’s awesome, they are so big it’s amazing to see them like that.",0
1,159,Didn't see this story on Good Morning America with Michael Strahan doing a mini documentary about the Island! HUH!,0
1,160,Incredible and what an amazing find. Thank you!,0
1,161,What sizes of shoes have they found?,2
1,162,Interesting engraving on the back.  Never seen that in any of the books or tv shows.,0
1,163,By the looks of the growth on it’s head… the statue appears to be lichen the situation.,2
1,164,When the customer in front at the store insists on paying for groceries with coins.,0
1,165,"Je ne comprends toujours pas comment elles sont arrivées là et comment elles ont été enterrées , a moins qu 'il y ait eu un tsunami qui a tout recouvert !😎",0
1,166,"I don't want to sound funny, but maybe there are things that should be left undiscovered, we had corona, lots of other pandemics, what if something completely different awaited us there that we couldn't cope with....",0
1,167,I believe the statues to be much older that we are led to believe as shown by the amount of soil build up that half buried them . Perhaps part of the more ancient Lemuria,0
1,168,Just proves there was a great flood. Possible explanation how they were covered when the waters settled.,7
1,169,MashaAllah everything is so so beautiful 😍 .Tahniah Niza and family.,0
1,170,That rewrites the whole story then.,0
1,171,Seen some of these before. Amazing. c.,0
1,172,Il y a du avoir un drôle de changement climatique à l époque,0
1,173,"Muy Bacana esas obras de arte antiguas, me parece chévere esa profesión",0
1,174,And there's a good horse under him... name that quote.,0
1,175,"Maybe they didn’t want them to be dug up. Glad its you and not me.🥺😵ha ha just kidding….no I’m not….ya, I am 😉….no I’m not.😄😄😄😳",0
1,176,This is so interesting. I cant wait to find out your research.,0
1,177,I can see this. Amazing. What else was you doing on Easter island at the time?,0
1,178,how many floods do they represent 50-75k years? the mud covering them is artificial? or several layers of mud from the floods?  what is the altitude of the plain? could we time this by soil types? 🤠🤠,0
1,179,Is so baffles me how did scientist of all people go this long not to check how deep does the stone go? How can this happen,0
1,180,Thaïs is si amazing! Such treasures!!,0
1,181,How fantastic do you know how tall they are yet I would love to be with you,0
1,182,Magique. Ils ont donc dégagé tout ce qui se trouvait en-dessous pour libérer la statue. Quel travail ! Comme ces statues inspirent le respect et comme c est bien que cette île soit protégée du tourisme de masse (si ce qu'on en dit est vrai).,0
1,183,I sew they played tennis. 😂,0
1,184,I have a dog that does that sort of thing in my backyard.  But I never thought of him as an archeologist.,0
1,185,"Studying the weathering and discoloration over time and, then, comparing the surrounding soil to determine if it was dug out or silted in over a wide area would determine the original depth it was buried on installation.  The discoloration and wear on the top appear to indicate a longer burial time compared to exposure time.",0
1,186,This amazes me since I have seen so many pictures of them laying toppled over. Does this means all are not below ground?,0
1,187,Mostly women on this project. Is that because they are really good at digging up the past?,0
1,188,That’s actually amazing and would be cool to see in person,0
1,189,The evidence is probably at the level of the base of statues. Amazing work,0
1,190,"Maybe it was a beach at one pint and they were just playing getting buried in the sand. And they got left there. Stone cold but yeah, it happens",0
1,191,"How Cool is that, Thank You for all your hard work and skills !! T",0
1,192,Wow what an amazing adventure,0
1,193,What amazes me is no one thought to check b4.,0
1,194,one of the great wonders of the world just became even more fascinating,0
1,195,They all seem to staring at the same place- is this a 3D version of the Cerne Giant🤔😜🤭,0
1,196,"theres speculation that a pole shift may have caused the sudden rise in soil levels to bury these statues so perfectly, the 2 mile high tidal wave shifting millions of tons of silt within a few hrs! 1000kph winds as the land mass's shift half way horizontally but the water and air continue to spin with the earths old rotation, everything on the planet gets wiped clean, land reformed, things buried/ part buried... as we see here!  all this within a 24hr period and they say we are well overdue for the next!  the Giant sphinx bares erosion markings around its base where water has come through at an alarming speed and depth!  attributed to a sudden pole shift.",0
1,197,He has pickle ball paddles in his g-string 😂,0
1,198,"I wonder how long it would take for that amount of soil to be deposited around them up to there necks , they seem older than we have been told 900 years old yet there thousands of years od deposited  material, is it just me",0
1,199,I'm guessing most of these digs are fairly recent. We were there on vacation about 10 years ago and only saw 1 that had been at least partially uncovered. It was hard to get to but worth the trip!,0
1,200,I'm pretty sure we've known this for some time.,1
2,201,"I really hate those moai statues with their unrealistic representation of the male body, making all the other ones feel bad. WE WANT MOAI STATUES WITH CURVES",90
2,202,"The statues actually have bodies, as you see from the pictures following the first one, but the arms are more stylized (simplified). The first picture with crossed arms is a hoax. Why do some small minds think they are cute when they spread wrong information? Maybe it's the only way they can get some attention...",493
2,203,"Isn't the grass green today? yeah, it's green. Very green. Greener than yesterday? No, not that green. Nice weather isn't it? Blablablabla.....",67
2,204,"Did read somewhere that ancient hieroglyphs of some sort are on the back at the bottom of the statue. What's the betting they find out, when translated, it say's 'Made in China'? :)",30
2,205,Lol so fake. I've seen multiple documentaries on Easter Island. And even watched ppl attempt to move them the way their creators did with rope.,29
2,206,Parece increible que estas esculturas tan enormes fueron construidas hace miles de años sin contar con maquinaria y adelantos algunos para lograr estas maravillas.,19
2,207,"Its real.I think ,no one talked about it ,because its"" Easter ""Islands ,and the ""heads"" hold their cocks .Very likely there is a religious politics behind it .",10
2,208,"I love this picture, it's as if they are saying ""What took you dummy's so long to figure this out"". lol",4
2,209,"EVERYONE this IS IT EHAT IT LOOKS LIKE ITS. :)

https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-6/462120848_2606810872853967_84591487318582726_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=phPlQ8_SSOsQ7kNvgFQqSBc&_nc_zt=23&_nc_ht=scontent.fnap3-2.fna&_nc_gid=APuzCwQYORFYE7zcg8W0oXb&oh=00_AYClKqvZxPVAQY69SJltMw4cfP87Pm3IFRXZTtnPR5hc9Q&oe=67A00079",25
2,210,https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-6/464722824_8890366694335860_8563890557972106582_n.jpg?stp=dst-jpg_p370x247_tt6&_nc_cat=105&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=YiXX3g-mlBYQ7kNvgGstuvJ&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=APuzCwQYORFYE7zcg8W0oXb&oh=00_AYC61b8B4Q7omn6_2r_etw7mQ2WAMHhf6-HIqI9WzEY0nw&oe=67A00626,1211
2,211,Hahahahahah Travis Halterman see!! There is an Easter Island!,1
2,212,"As much as I know these statues became famous as a mysterious heads ""growing"" from the earth,but here we have more to know more about their story. But when the hidden parts of the statues were uncovered,pls? I didn't see it yet",8
2,213,"Credo che l'unica statua di questo tipo fuori dall'isola si trovi in Italia, per la precisione a Vitorchiano (Lazio). Fu costruita dagli stessi moai sul posto e messa sulla piazza principale del paese, davanti alle antiche mura. Poi, non so perché, spostata lontano, in un buio parcheggio, e senza una indicazione che ne annunci la presenza o l'ubicazione.",1
2,214,They've known about them for quite awhile as not all of them were torn down.  Its just that alot of them were torn down and destroyed when their civilization fell apart.,6
2,215,"Looks like Hoax, how can it  be real, after so so so many years, if it is real, wiki should update its page on Moai statues. Why is it not updated yet !?!?",3
2,216,i see in one catalog tha statues I like to buy one to  put it in front of my  yard but my son said no someone may steal it,2
2,217,"Skillnaden mellanntro och vetande..
Bakom tron existerar mer, dvs det finns en orsak till tron, och när orsaken kommer fram fullt ut, är det vetenskap, vid just gränsen..så vetenskap kan komma längre tills den absoluta sanningen uppenbarar sig.  Jag antar att det finns en absolut sanning, det är en tro jag har :-)",2
2,218,"This picture was just for joke in a journal saying ""have you ever imagined?"" And the showed the real ones... Come on, a bit more sense of humor. It was very clear to me.",3
2,219,"Diana Gutierrez, con mas razón creo en la teoría de q los gigantes la construyeron...",2
2,220,"It blows my mind that anyone was idiotic enough to believe the first photo was real in the first place. I'm just kind of laughing at the argument about it, tbh.",26
2,221,"It looks impossible and has Far Side funniness that somehow helps one appreciate the simple beauty of the real sculptures ',))",1
2,222,Well there you go. A little bit like life really. You never really know what people are really like till you dig a bit deeper under the surface.,3
2,223,Rana Musleh hii habibtii. Show these to Faris he took about them before i think he might be interested with the news,3
2,224,wajajaja pero no ese cuerpo fitness wajajaja tienen el mismo cuerpo que los que están completos parados fuera de la isla como en AKIVI O TAHAI O TONGARIKI etc,0
2,225,"cette photo fait un peu ""montage"" mais les autres sont surprenantes! Quelle idée géniale d'avoir creuser autour et sous les têtes!!",2
2,226,Pero yo esta noticia no había leído.  Cuando ha salido esta noticia?,0
2,227,Mina Nagy Mohannad Alaa جائزة ال#علي_وضعنا تذهب الي.... :D,1
2,228,"Cela me fait penser: lorsqu'il y a une tête de cerf accrochée au mur en trophée de chasse, est-ce que le reste du corps dépasse de l'autre côté du mur ???",4
2,229,This one is fake. It's Photoshop.,298
2,230,They do have bodies but they didn't work out,17
2,231,This is false. Why post this photo? It is made up. Might as well give him Santa Costume bodies.,36
2,232,Deanna Haren Ahahaha Mr Cacahuete ! look at the album ahaha,7
2,233,ไมไม่ขุดเนาขึ้นมา ใครจะบ้าเอาหัวมาวาง,0
2,234,And I assure you it doesn't look like this,4
2,235,Ketav Shah,1
2,236,Enrico Dacumos,0
2,237,Yan Agbayani,0
2,238,Nicolas Gabbanella,0
2,239,Nice,0
2,240,Os primeiros maromba da história #ficagrandepoha #focoforçafe #frangocombatatadoce #way,7
2,241,Name of the artist who painted this?,3
2,242,How tf can I see the picture with all them fucking tags on it.. Kill that bullshit,2
2,243,http://www.snopes.com/photos/arts/easterisland.asp this is what the bodies REALLY  look like,1
2,244,"I wonder if any of the archaeologist that went there felt some type of haunting there. Because Josh Gates, the star from Destination Truth TV show went there, and he caught a ghost on camera, with a strange light over the ocean, and one of his team members freaked out, said he felt hands all over him..... I wonder if these researchers had anything to happen to them at night? Noises? Voices?",7
2,245,When you workout but u still ugly.,3
2,246,"Por algum motivo essas estátuas me fazem pensar que os Titãs de Shingeki já existiram e é dessa forma que os humanos relataram sua existencia,( vá passando as fotos) Bruna",1
2,247,eWhy this gratuitous insult?,4
2,248,Some one had the last laugh.Excellent!,3
2,249,This is a nice picture.  Obviously not real!  Artistic and cute.  I like it.,2
2,250,Astonishing.,0
2,251,Martina qui siamo impazienti di fare il nostro work out,2
2,252,"mind you funny that after all these years we have known the heads ,that some one said lets dig further down,i take my hat of to him!!!!!",5
2,253,"Solo estamos viviendo en una superficie de lo oculto. Y es lo que nos hace creer que somos unicos.. ignorando que hubieron civilizaciones y tecnologias maravillozas  mucho antesque nosotros que realmente contruyeron, lo que hoy  destruimos, 
Isla de pascua, santuario ancestral  guarda una parte que nos educa..",9
2,254,Sheila Altable Gironda esto tendras que verlo cuando vayas a shile no? jajaja,1
2,255,ohhhhhh.......como los gigantes del templo de abusimbel???,0
2,256,Please leave the statues alone,1
2,257,"The islands' natives have a word for *walk like moai*. After they were carved in the Quarry they were stood up and tied with ropes. 3 teams, two in front and one behind would wobble it back and forth and make it walk to the edges of the island.",2
2,258,Is this Arnold Schwarzenegger?,1
2,259,Roberto Sarno Paolo Caturelli la risposta a nove domande su dieci è:::?!?,2
2,260,"I'm So Interested in all about Easter Island,.",0
2,261,Hermoso isla de pascua... :),0
2,262,que imaginaçao tem esse pessoal gostei,0
2,263,lo que le decia :O Juan Carlos,1
2,264,"I can't look at these without thinking ""dum dum got gum gum?""",2
2,265,Tu amigo Jaqueline la Cabezas de la Isla de Pascua las que te decía,0
2,266,c'est un beau montage,0
2,267,"Lighten up, it's just funny, anybody can tell this is fake.",0
2,268,"... and in other news, water is still wet.",0
2,269,Those ancient statues are telling something.,0
